Date,Interest
1995,5.56
1996,2.75
1997,4.35
1998,5.05
1999,4.75
2000,5.75
2001,2.25
2002,2.75
2003,2.75
2004,2.5
2005,3
2006,4.25
2007,4.25
2008,1.5
2009,0.25
2010,1
2011,1
2012,1
2013,1
2014,1
2015,0.5
2016,0.5
2017,1
2018,1.75
2019,1.75
2020,0.25
2021,0.25
2022,4.25
2023,5
2024,3.75
