Category,OECD
1989-01-01 0:00,101.7284
1989-02-01 0:00,101.6156
1989-03-01 0:00,101.4406
1989-04-01 0:00,101.2791
1989-05-01 0:00,101.1936
1989-06-01 0:00,101.1966
1989-07-01 0:00,101.273
1989-08-01 0:00,101.3721
1989-09-01 0:00,101.4832
1989-10-01 0:00,101.4789
1989-11-01 0:00,101.4266
1989-12-01 0:00,101.4001
1990-01-01 0:00,101.3822
1990-02-01 0:00,101.3156
1990-03-01 0:00,101.2531
1990-04-01 0:00,101.2194
1990-05-01 0:00,101.1329
1990-06-01 0:00,101.0062
1990-07-01 0:00,100.7822
1990-08-01 0:00,100.3805
1990-09-01 0:00,99.94159
1990-10-01 0:00,99.65395
1990-11-01 0:00,99.58379
1990-12-01 0:00,99.62653
1991-01-01 0:00,99.72113
1991-02-01 0:00,99.9824
1991-03-01 0:00,100.3655
1991-04-01 0:00,100.5081
1991-05-01 0:00,100.4993
1991-06-01 0:00,100.4542
1991-07-01 0:00,100.3919
1991-08-01 0:00,100.3467
1991-09-01 0:00,100.2875
1991-10-01 0:00,100.0973
1991-11-01 0:00,99.82925
1991-12-01 0:00,99.63583
1992-01-01 0:00,99.57787
1992-02-01 0:00,99.67375
1992-03-01 0:00,99.83982
1992-04-01 0:00,99.93859
1992-05-01 0:00,99.94538
1992-06-01 0:00,99.84624
1992-07-01 0:00,99.65051
1992-08-01 0:00,99.42991
1992-09-01 0:00,99.24062
1992-10-01 0:00,99.17859
1992-11-01 0:00,99.30991
1992-12-01 0:00,99.46307
1993-01-01 0:00,99.53351
1993-02-01 0:00,99.53164
1993-03-01 0:00,99.52203
1993-04-01 0:00,99.49445
1993-05-01 0:00,99.37948
1993-06-01 0:00,99.22207
1993-07-01 0:00,99.09542
1993-08-01 0:00,99.04868
1993-09-01 0:00,99.07166
1993-10-01 0:00,99.16683
1993-11-01 0:00,99.34483
1993-12-01 0:00,99.65696
1994-01-01 0:00,99.98151
1994-02-01 0:00,100.2023
1994-03-01 0:00,100.3496
1994-04-01 0:00,100.5034
1994-05-01 0:00,100.6598
1994-06-01 0:00,100.7893
1994-07-01 0:00,100.8825
1994-08-01 0:00,100.9845
1994-09-01 0:00,101.0578
1994-10-01 0:00,101.0825
1994-11-01 0:00,101.0629
1994-12-01 0:00,101.0339
1995-01-01 0:00,100.9855
1995-02-01 0:00,100.8579
1995-03-01 0:00,100.717
1995-04-01 0:00,100.672
1995-05-01 0:00,100.6942
1995-06-01 0:00,100.7927
1995-07-01 0:00,100.8641
1995-08-01 0:00,100.8436
1995-09-01 0:00,100.7101
1995-10-01 0:00,100.5943
1995-11-01 0:00,100.5161
1995-12-01 0:00,100.4926
1996-01-01 0:00,100.4955
1996-02-01 0:00,100.5341
1996-03-01 0:00,100.6162
1996-04-01 0:00,100.6435
1996-05-01 0:00,100.6361
1996-06-01 0:00,100.6607
1996-07-01 0:00,100.7008
1996-08-01 0:00,100.7451
1996-09-01 0:00,100.7672
1996-10-01 0:00,100.7735
1996-11-01 0:00,100.757
1996-12-01 0:00,100.7249
1997-01-01 0:00,100.7495
1997-02-01 0:00,100.8341
1997-03-01 0:00,100.9496
1997-04-01 0:00,101.0977
1997-05-01 0:00,101.2669
1997-06-01 0:00,101.4222
1997-07-01 0:00,101.5277
