No.,Values,"Less than $500,000","$500,000 to $9,999,999","$10,000,000 and more"
1,2016,1,1,1
2,2017,0.9,1.02,1.04
3,2018,0.91,1.18,1.11
4,2019,0.89,1.22,1.2
5,2020,1.11,1.29,1.28
6,2021,0.99,1.32,1.65
