NO.,Technologies,percentage of advanced technology spending
1,Advanced design and information control technologies,23.4
2,Additional advanced technologies,15.2
3,Advanced business intelligence technologies,14.9
4,Clean technologies,11.7
5,Advanced processing and fabrication technologies,11.4
6,"Advanced material handling, supply chain and logistics technologies",8
7,Internet-connected smart devices or systems,5.5
8,Other,4.7
9,Robotics,3.9
10,Artificial intelligence technologies,1.3
