No.,REF_DATE,GEO,DGUID,Assets and liabilities,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
55,1950-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7285,,,t,0
56,1950-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7406,,,t,0
57,1950-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7540,,,t,0
58,1950-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7603,,,t,0
59,1950-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7715,,,t,0
60,1950-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7770,,,t,0
61,1951-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7748,,,t,0
62,1951-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7668,,,t,0
63,1951-03-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7615,,,t,0
64,1951-04-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7596,,,t,0
65,1951-05-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7586,,,t,0
66,1951-06-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7556,,,t,0
67,1951-07-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7544,,,t,0
68,1951-08-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7545,,,t,0
69,1951-09-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7542,,,t,0
70,1951-10-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7580,,,t,0
71,1951-11-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7650,,,t,0
72,1951-12-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7693,,,t,0
73,1952-01-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7653,,,t,0
74,1952-02-01,Canada,2016A000011124,"Total, major assets",Dollars,81,millions,6,v36685,1.1,7620,,,t,0
